"","SPCD","COMMON_NAME","Scientific Name","SPGRPCD:E","SPGRPCD:W","MAJGRP","Occurrence:NC","Occurence:NE","Occurrence:PNW","Occurrence:RM","Occurrence:SO"
"1",10,"fir spp. ","Abies spp",6,12,2,"X","X","-","-","X"
"2",11,"Pacific silver fir","Abies amabilis",9,12,2,"-","-","X","-","-"
"3",12,"balsam fir ","Abies balsamea",6,12,2,"X","X","-","-","X"
"4",14,"Santa Lucia or bristlecone fir","Abies bracteata",9,12,2,"-","-","X","-","-"
"5",15,"white fir ","Abies concolor",9,12,2,"X","-","X","X","X"
"6",16,"Fraser fir","Abies fraseri",9,12,2,"X","X","-","-","X"
"7",17,"grand fir ","Abies grandis",9,12,2,"-","-","X","X","-"
"8",18,"corkbark fir","Abies lasiocarpa var. arizonica",9,12,2,"-","-","-","X","X"
"9",19,"subalpine fir","Abies lasiocarpa",9,12,2,"-","-","X","X","X"
"10",20,"California red fir","Abies magnifica",9,12,2,"-","-","X","X","-"
"11",21,"Shasta red fir","Abies shastensis",9,12,2,"-","-","X","X","-"
"12",22,"noble fir","Abies procera",9,12,2,"-","-","X","X","-"
"13",40,"white-cedar spp.","Chamaecyparis spp.",9,24,2,"-","X","X","-","-"
"14",41,"Port-Orford-cedar","Chamaecyparis lawsoniana",9,24,2,"-","-","X","-","-"
"15",42,"Alaska yellow-cedar","Chamaecyparis nootkatensis",9,24,2,"-","-","X","-","-"
"16",43,"Atlantic white-cedar","Chamaecyparis thyoides",9,24,2,"-","X","-","-","X"
"17",50,"cypress","Cupressus spp.",9,24,2,"-","-","X","-","-"
"18",51,"Arizona cypress","Cupressus arizonica",9,24,2,"-","-","X","X","X"
"19",52,"Baker or Modoc cypress","Cupressus bakeri",9,24,2,"-","-","X","-","-"
"20",53,"Tecate cypress","Cupressus forbesii",9,24,2,"-","-","X","-","-"
"21",54,"Monterey cypress","Cupressus macrocarpa",9,24,2,"-","-","X","-","-"
"22",55,"Sargent's cypress","Cupressus sargentii",9,24,2,"-","-","X","-","-"
"23",56,"MacNab's cypress","Cupressus macnabiana",9,24,2,"-","-","X","-","-"
"24",57,"redcedar/juniper spp.","Juniperus spp.",9,23,2,"X","X","-","-","X"
"25",58,"Pinchot juniper","Juniperus pinchotii",23,23,2,"-","-","-","X","X"
"26",59,"redberry juniper","Juniperus coahuilensis",23,23,2,"-","-","-","X","X"
"27",60,"drooping juniper","Juniperus flaccida",23,23,2,"-","-","-","-","X"
"28",61,"Ashe juniper","Juniperus ashei",23,23,2,"X","-","-","-","X"
"29",62,"California juniper","Juniperus californica",23,23,2,"-","-","X","X","-"
"30",63,"alligator juniper","Juniperus deppeana",23,23,2,"-","-","-","X","X"
"31",64,"western juniper","Juniperus occidentalis",9,24,2,"-","-","X","X","-"
"32",65,"Utah juniper","Juniperus osteosperma",23,23,2,"-","-","X","X","X"
"33",66,"Rocky Mountain juniper","Juniperus scopulorum",23,23,2,"X","-","X","X","X"
"34",67,"southern redcedar","Juniperus virginiana var. silicicola",9,24,2,"-","-","-","-","X"
"35",68,"eastern redcedar","Juniperus virginiana",9,24,2,"X","X","-","X","X"
"36",69,"oneseed juniper","Juniperus monosperma",23,23,2,"-","-","-","X","X"
"37",70,"larch spp.","Larix spp.",9,24,2,"X","X","-","-","-"
"38",71,"tamarack (native)","Larix laricina",9,24,2,"X","X","X","-","-"
"39",72,"subalpine larch","Larix lyallii",9,24,2,"-","-","X","X","-"
"40",73,"western larch","Larix occidentalis",9,19,2,"-","-","X","X","-"
"41",81,"incense-cedar","Calocedrus decurrens",9,20,2,"-","-","X","X","-"
"42",90,"spruce spp.","Picea spp.",6,18,2,"X","X","-","-","X"
"43",91,"Norway spruce","Picea abies",9,18,2,"X","X","-","-","X"
"44",92,"Brewer spruce","Picea breweriana",9,18,2,"-","-","X","-","-"
"45",93,"Engelmann spruce","Picea engelmannii",9,18,2,"X","-","X","X","X"
"46",94,"white spruce","Picea glauca",6,18,2,"X","X","X","X","X"
"47",95,"black spruce","Picea mariana",6,18,2,"X","X","X","-","X"
"48",96,"blue spruce","Picea pungens",9,18,2,"X","X","-","X","X"
"49",97,"red spruce","Picea rubens",6,18,2,"-","X","-","-","X"
"50",98,"Sitka spruce","Picea sitchensis",9,17,2,"-","-","X","-","-"
"51",100,"pine spp.","Pinus spp.",9,24,1,"X","X","X","-","X"
"52",101,"whitebark pine","Pinus albicaulis",9,24,1,"-","-","X","X","-"
"53",102,"Rocky Mountain bristlecone pine","Pinus aristata",9,24,1,"-","-","X","X","X"
"54",103,"knobcone pine","Pinus attenuata",9,24,1,"-","-","X","X","-"
"55",104,"foxtail pine","Pinus balfouriana",9,24,1,"-","-","X","X","-"
"56",105,"jack pine","Pinus banksiana",5,24,1,"X","X","-","-","-"
"57",106,"common or two-needle pinyon","Pinus edulis",23,23,1,"-","-","X","X","X"
